year,region,species,population
2003,Somali,total_chicks_exotic,0
2004,Somali,total_chicks_exotic,0
2005,Somali,total_chicks_exotic,0
2006,Somali,total_chicks_exotic,0
2007,Somali,total_chicks_exotic,0
2008,Somali,total_chicks_exotic,0
2009,Somali,total_chicks_exotic,0
2010,Somali,total_chicks_exotic,0
2011,Somali,total_chicks_exotic,0
2012,Somali,total_chicks_exotic,0
2013,Somali,total_chicks_exotic,0
2014,Somali,total_chicks_exotic,0
2015,Somali,total_chicks_exotic,0
2016,Somali,total_chicks_exotic,0
2017,Somali,total_chicks_exotic,0
2018,Somali,total_chicks_exotic,0
2019,Somali,total_chicks_exotic,0
2020,Somali,total_chicks_exotic,0
2003,SNNPR,total_chicks_exotic,0
2004,SNNPR,total_chicks_exotic,0
2005,SNNPR,total_chicks_exotic,0
2006,SNNPR,total_chicks_exotic,0
2007,SNNPR,total_chicks_exotic,0
2008,SNNPR,total_chicks_exotic,0
2009,SNNPR,total_chicks_exotic,0
2010,SNNPR,total_chicks_exotic,0
2011,SNNPR,total_chicks_exotic,0
2012,SNNPR,total_chicks_exotic,0
2013,SNNPR,total_chicks_exotic,0
2014,SNNPR,total_chicks_exotic,3107
2015,SNNPR,total_chicks_exotic,0
2016,SNNPR,total_chicks_exotic,19189
2017,SNNPR,total_chicks_exotic,56299
2018,SNNPR,total_chicks_exotic,39198
2019,SNNPR,total_chicks_exotic,0
2020,SNNPR,total_chicks_exotic,0
2003,Tigray,total_chicks_exotic,0
2004,Tigray,total_chicks_exotic,7033
2005,Tigray,total_chicks_exotic,0
2006,Tigray,total_chicks_exotic,8433
2007,Tigray,total_chicks_exotic,2566
2008,Tigray,total_chicks_exotic,0
2009,Tigray,total_chicks_exotic,0
2010,Tigray,total_chicks_exotic,0
2011,Tigray,total_chicks_exotic,0
2012,Tigray,total_chicks_exotic,15392
2013,Tigray,total_chicks_exotic,60866
2014,Tigray,total_chicks_exotic,30610
2015,Tigray,total_chicks_exotic,59661
2016,Tigray,total_chicks_exotic,136813
2017,Tigray,total_chicks_exotic,118157
2018,Tigray,total_chicks_exotic,210884
2019,Tigray,total_chicks_exotic,277134
2020,Tigray,total_chicks_exotic,277134
2003,Addis Ababa,total_laying_hens_exotic,0
2004,Addis Ababa,total_laying_hens_exotic,0
2005,Addis Ababa,total_laying_hens_exotic,133
2006,Addis Ababa,total_laying_hens_exotic,296
2007,Addis Ababa,total_laying_hens_exotic,0
2008,Addis Ababa,total_laying_hens_exotic,0
2009,Addis Ababa,total_laying_hens_exotic,0
2010,Addis Ababa,total_laying_hens_exotic,0
2011,Addis Ababa,total_laying_hens_exotic,0
2012,Addis Ababa,total_laying_hens_exotic,0
2013,Addis Ababa,total_laying_hens_exotic,0
2014,Addis Ababa,total_laying_hens_exotic,0
2015,Addis Ababa,total_laying_hens_exotic,0
2016,Addis Ababa,total_laying_hens_exotic,0
2017,Addis Ababa,total_laying_hens_exotic,0
2018,Addis Ababa,total_laying_hens_exotic,0
2010,Addis Ababa,total_laying_hens_exotic,0
2020,Addis Ababa,total_laying_hens_exotic,0
2003,Afar,total_laying_hens_exotic,0
2004,Afar,total_laying_hens_exotic,0
2005,Afar,total_laying_hens_exotic,0
2006,Afar,total_laying_hens_exotic,0
2007,Afar,total_laying_hens_exotic,0
2008,Afar,total_laying_hens_exotic,0
2009,Afar,total_laying_hens_exotic,0
2010,Afar,total_laying_hens_exotic,0
2011,Afar,total_laying_hens_exotic,0
2012,Afar,total_laying_hens_exotic,0
2013,Afar,total_laying_hens_exotic,0
2014,Afar,total_laying_hens_exotic,0
2015,Afar,total_laying_hens_exotic,0
2016,Afar,total_laying_hens_exotic,0
2017,Afar,total_laying_hens_exotic,0
2018,Afar,total_laying_hens_exotic,0
2019,Afar,total_laying_hens_exotic,0
2020,Afar,total_laying_hens_exotic,0
2003,Amhara,total_laying_hens_exotic,0
2004,Amhara,total_laying_hens_exotic,52022
2005,Amhara,total_laying_hens_exotic,39821
2006,Amhara,total_laying_hens_exotic,30811
2007,Amhara,total_laying_hens_exotic,12541
2008,Amhara,total_laying_hens_exotic,24444
2009,Amhara,total_laying_hens_exotic,39978
2010,Amhara,total_laying_hens_exotic,37688
2011,Amhara,total_laying_hens_exotic,47126
2012,Amhara,total_laying_hens_exotic,24440
2013,Amhara,total_laying_hens_exotic,42989
2014,Amhara,total_laying_hens_exotic,119164
2015,Amhara,total_laying_hens_exotic,195582
2016,Amhara,total_laying_hens_exotic,642860
2017,Amhara,total_laying_hens_exotic,884976
2018,Amhara,total_laying_hens_exotic,750657
2019,Amhara,total_laying_hens_exotic,532208
2020,Amhara,total_laying_hens_exotic,667578
2003,Benishangul Gumz,total_laying_hens_exotic,0
2004,Benishangul Gumz,total_laying_hens_exotic,0
2005,Benishangul Gumz,total_laying_hens_exotic,0
2006,Benishangul Gumz,total_laying_hens_exotic,0
2007,Benishangul Gumz,total_laying_hens_exotic,0
2008,Benishangul Gumz,total_laying_hens_exotic,0
2009,Benishangul Gumz,total_laying_hens_exotic,0
2010,Benishangul Gumz,total_laying_hens_exotic,0
2011,Benishangul Gumz,total_laying_hens_exotic,0
2012,Benishangul Gumz,total_laying_hens_exotic,1197
2013,Benishangul Gumz,total_laying_hens_exotic,2933
2014,Benishangul Gumz,total_laying_hens_exotic,3447
2015,Benishangul Gumz,total_laying_hens_exotic,0
2016,Benishangul Gumz,total_laying_hens_exotic,1908
2017,Benishangul Gumz,total_laying_hens_exotic,3420
2018,Benishangul Gumz,total_laying_hens_exotic,2454
2019,Benishangul Gumz,total_laying_hens_exotic,8178
2020,Benishangul Gumz,total_laying_hens_exotic,7452
2003,Dire Dawa,total_laying_hens_exotic,0
2004,Dire Dawa,total_laying_hens_exotic,603
2005,Dire Dawa,total_laying_hens_exotic,652
2006,Dire Dawa,total_laying_hens_exotic,0
2007,Dire Dawa,total_laying_hens_exotic,0
2008,Dire Dawa,total_laying_hens_exotic,0
2009,Dire Dawa,total_laying_hens_exotic,0
2010,Dire Dawa,total_laying_hens_exotic,1622
2011,Dire Dawa,total_laying_hens_exotic,2901
2012,Dire Dawa,total_laying_hens_exotic,3478
2013,Dire Dawa,total_laying_hens_exotic,2239
2014,Dire Dawa,total_laying_hens_exotic,2176
2015,Dire Dawa,total_laying_hens_exotic,0
2016,Dire Dawa,total_laying_hens_exotic,0
2017,Dire Dawa,total_laying_hens_exotic,0
2018,Dire Dawa,total_laying_hens_exotic,3715
2019,Dire Dawa,total_laying_hens_exotic,17444
2019,Dire Dawa,total_laying_hens_exotic,17444
2020,Dire Dawa,total_laying_hens_exotic,12576
2003,Gambela,total_laying_hens_exotic,0
2004,Gambela,total_laying_hens_exotic,0
2005,Gambela,total_laying_hens_exotic,0
2006,Gambela,total_laying_hens_exotic,0
2007,Gambela,total_laying_hens_exotic,0
2008,Gambela,total_laying_hens_exotic,0
2009,Gambela,total_laying_hens_exotic,0
2010,Gambela,total_laying_hens_exotic,0
2011,Gambela,total_laying_hens_exotic,0
2012,Gambela,total_laying_hens_exotic,0
2013,Gambela,total_laying_hens_exotic,0
2014,Gambela,total_laying_hens_exotic,0
2015,Gambela,total_laying_hens_exotic,0
2016,Gambela,total_laying_hens_exotic,1801
2017,Gambela,total_laying_hens_exotic,4118
2018,Gambela,total_laying_hens_exotic,8669
2019,Gambela,total_laying_hens_exotic,0
2020,Gambela,total_laying_hens_exotic,2123
2003,Harari,total_laying_hens_exotic,0
2004,Harari,total_laying_hens_exotic,0
2005,Harari,total_laying_hens_exotic,280
2006,Harari,total_laying_hens_exotic,0
2007,Harari,total_laying_hens_exotic,0
2008,Harari,total_laying_hens_exotic,415
2009,Harari,total_laying_hens_exotic,274
2010,Harari,total_laying_hens_exotic,0
2011,Harari,total_laying_hens_exotic,0
2012,Harari,total_laying_hens_exotic,0
2013,Harari,total_laying_hens_exotic,0
2014,Harari,total_laying_hens_exotic,0
2015,Harari,total_laying_hens_exotic,0
2016,Harari,total_laying_hens_exotic,0
2017,Harari,total_laying_hens_exotic,0
2018,Harari,total_laying_hens_exotic,0
2019,Harari,total_laying_hens_exotic,0
2019,Harari,total_laying_hens_exotic,0
2020,Harari,total_laying_hens_exotic,0
2003,Oromoa,total_laying_hens_exotic,0
2004,Oromoa,total_laying_hens_exotic,129472
2005,Oromoa,total_laying_hens_exotic,194442
2006,Oromoa,total_laying_hens_exotic,56222
2007,Oromoa,total_laying_hens_exotic,22996
2008,Oromoa,total_laying_hens_exotic,22282
2009,Oromoa,total_laying_hens_exotic,10279
2010,Oromoa,total_laying_hens_exotic,19805
2011,Oromoa,total_laying_hens_exotic,42750
2012,Oromoa,total_laying_hens_exotic,44617
2013,Oromoa,total_laying_hens_exotic,55144
2014,Oromoa,total_laying_hens_exotic,81914
2015,Oromoa,total_laying_hens_exotic,91038
2016,Oromoa,total_laying_hens_exotic,148908
2017,Oromoa,total_laying_hens_exotic,316187
2018,Oromoa,total_laying_hens_exotic,552387
2019,Oromoa,total_laying_hens_exotic,658495
2020,Oromoa,total_laying_hens_exotic,832129
2003,Somali,total_laying_hens_exotic,0
2004,Somali,total_laying_hens_exotic,0
2005,Somali,total_laying_hens_exotic,0
2006,Somali,total_laying_hens_exotic,0
2007,Somali,total_laying_hens_exotic,0
2008,Somali,total_laying_hens_exotic,0
2009,Somali,total_laying_hens_exotic,0
2010,Somali,total_laying_hens_exotic,0
2011,Somali,total_laying_hens_exotic,0
2012,Somali,total_laying_hens_exotic,0
2013,Somali,total_laying_hens_exotic,0
2014,Somali,total_laying_hens_exotic,0
2015,Somali,total_laying_hens_exotic,0
2016,Somali,total_laying_hens_exotic,0
2017,Somali,total_laying_hens_exotic,0
2018,Somali,total_laying_hens_exotic,0
2019,Somali,total_laying_hens_exotic,0
2020,Somali,total_laying_hens_exotic,0
2003,SNNPR,total_laying_hens_exotic,0
2004,SNNPR,total_laying_hens_exotic,16444
2005,SNNPR,total_laying_hens_exotic,8326
2006,SNNPR,total_laying_hens_exotic,7068
2007,SNNPR,total_laying_hens_exotic,9528
2008,SNNPR,total_laying_hens_exotic,8220
2009,SNNPR,total_laying_hens_exotic,11331
2010,SNNPR,total_laying_hens_exotic,13139
2011,SNNPR,total_laying_hens_exotic,12320
2012,SNNPR,total_laying_hens_exotic,9412
2013,SNNPR,total_laying_hens_exotic,9262
2014,SNNPR,total_laying_hens_exotic,32377
2015,SNNPR,total_laying_hens_exotic,73454
2016,SNNPR,total_laying_hens_exotic,229773
2017,SNNPR,total_laying_hens_exotic,236745
2018,SNNPR,total_laying_hens_exotic,227620
2019,SNNPR,total_laying_hens_exotic,135911
2020,SNNPR,total_laying_hens_exotic,129225
2003,Tigray,total_laying_hens_exotic,0
2004,Tigray,total_laying_hens_exotic,34745
2005,Tigray,total_laying_hens_exotic,20846
2006,Tigray,total_laying_hens_exotic,46528
2007,Tigray,total_laying_hens_exotic,32742
2008,Tigray,total_laying_hens_exotic,52481
2009,Tigray,total_laying_hens_exotic,53088
2010,Tigray,total_laying_hens_exotic,16989
2011,Tigray,total_laying_hens_exotic,17324
2012,Tigray,total_laying_hens_exotic,62535
2013,Tigray,total_laying_hens_exotic,75577
2014,Tigray,total_laying_hens_exotic,223955
2015,Tigray,total_laying_hens_exotic,400289
2016,Tigray,total_laying_hens_exotic,488288
2017,Tigray,total_laying_hens_exotic,758718
2018,Tigray,total_laying_hens_exotic,673643
2019,Tigray,total_laying_hens_exotic,648191
2020,Tigray,total_laying_hens_exotic,648191
2003,Addis Ababa,Total Holdings,0
2004,Addis Ababa,Total Holdings,5301
2005,Addis Ababa,Total Holdings,6951
2006,Addis Ababa,Total Holdings,7403
2007,Addis Ababa,Total Holdings,0
2008,Addis Ababa,Total Holdings,0
2009,Addis Ababa,Total Holdings,0
2010,Addis Ababa,Total Holdings,0
2011,Addis Ababa,Total Holdings,0
2012,Addis Ababa,Total Holdings,0
2013,Addis Ababa,Total Holdings,0
2014,Addis Ababa,Total Holdings,0
2015,Addis Ababa,Total Holdings,0
2016,Addis Ababa,Total Holdings,0
2017,Addis Ababa,Total Holdings,0
2018,Addis Ababa,Total Holdings,0
2019,Addis Ababa,Total Holdings,0
2020,Addis Ababa,Total Holdings,0
2003,Afar,Total Holdings,0
2004,Afar,Total Holdings,31448
2005,Afar,Total Holdings,28957
2006,Afar,Total Holdings,31133
2007,Afar,Total Holdings,41324
2008,Afar,Total Holdings,46243
2009,Afar,Total Holdings,49621
2010,Afar,Total Holdings,94265
2011,Afar,Total Holdings,102751
2012,Afar,Total Holdings,-6
2013,Afar,Total Holdings,219077
2014,Afar,Total Holdings,258758
2015,Afar,Total Holdings,232615
2016,Afar,Total Holdings,252980
2017,Afar,Total Holdings,184985
2018,Afar,Total Holdings,410363
2019,Afar,Total Holdings,370367
2020,Afar,Total Holdings,339402
2003,Amhara,Total Holdings,0
2004,Amhara,Total Holdings,3177364
2005,Amhara,Total Holdings,3140806
2006,Amhara,Total Holdings,3399955
2007,Amhara,Total Holdings,3600715
2008,Amhara,Total Holdings,4006779
2009,Amhara,Total Holdings,4049796
2010,Amhara,Total Holdings,4244866
2011,Amhara,Total Holdings,4373004
2012,Amhara,Total Holdings,-6
2013,Amhara,Total Holdings,4582890
2014,Amhara,Total Holdings,4838982
2015,Amhara,Total Holdings,4922253
2016,Amhara,Total Holdings,5174526
2017,Amhara,Total Holdings,5369494
2018,Amhara,Total Holdings,4907940
2019,Amhara,Total Holdings,4970236
2020,Amhara,Total Holdings,5244863
2003,Benishangul Gumz,Total Holdings,0
2004,Benishangul Gumz,Total Holdings,136370
2005,Benishangul Gumz,Total Holdings,138371
2006,Benishangul Gumz,Total Holdings,151603
2007,Benishangul Gumz,Total Holdings,138392
2008,Benishangul Gumz,Total Holdings,143620
2009,Benishangul Gumz,Total Holdings,147640
2010,Benishangul Gumz,Total Holdings,198824
2011,Benishangul Gumz,Total Holdings,216770
2012,Benishangul Gumz,Total Holdings,218280
2013,Benishangul Gumz,Total Holdings,208865
2014,Benishangul Gumz,Total Holdings,235178
2015,Benishangul Gumz,Total Holdings,247229
2016,Benishangul Gumz,Total Holdings,248200
2017,Benishangul Gumz,Total Holdings,323508
2018,Benishangul Gumz,Total Holdings,253142
2019,Benishangul Gumz,Total Holdings,209442
2020,Benishangul Gumz,Total Holdings,210313
2003,Dire Dawa,Total Holdings,0
2004,Dire Dawa,Total Holdings,16955
2005,Dire Dawa,Total Holdings,18299
2006,Dire Dawa,Total Holdings,18584
2007,Dire Dawa,Total Holdings,21116
2008,Dire Dawa,Total Holdings,21947
2009,Dire Dawa,Total Holdings,22783
2010,Dire Dawa,Total Holdings,23135
2011,Dire Dawa,Total Holdings,23336
2012,Dire Dawa,Total Holdings,26225
2013,Dire Dawa,Total Holdings,26298
2014,Dire Dawa,Total Holdings,27882
2015,Dire Dawa,Total Holdings,27500
2016,Dire Dawa,Total Holdings,27448
2017,Dire Dawa,Total Holdings,31884
2018,Dire Dawa,Total Holdings,26467
2019,Dire Dawa,Total Holdings,43936
2020,Dire Dawa,Total Holdings,44450
2003,Gambela,Total Holdings,0
2004,Gambela,Total Holdings,0
2005,Gambela,Total Holdings,0
2006,Gambela,Total Holdings,0
2007,Gambela,Total Holdings,37314
2008,Gambela,Total Holdings,35076
2009,Gambela,Total Holdings,36027
2010,Gambela,Total Holdings,43153
2011,Gambela,Total Holdings,45477
2012,Gambela,Total Holdings,53877
2013,Gambela,Total Holdings,62804
2014,Gambela,Total Holdings,61463
2015,Gambela,Total Holdings,68888
2016,Gambela,Total Holdings,76910
2017,Gambela,Total Holdings,72008
2018,Gambela,Total Holdings,72334
2019,Gambela,Total Holdings,54454
2020,Gambela,Total Holdings,56253
2003,Harari,Total Holdings,0
2004,Harari,Total Holdings,14913
2005,Harari,Total Holdings,15746
2006,Harari,Total Holdings,17046
2007,Harari,Total Holdings,17943
2008,Harari,Total Holdings,18343
2009,Harari,Total Holdings,18590
2010,Harari,Total Holdings,20144
2011,Harari,Total Holdings,20770
2012,Harari,Total Holdings,23221
2013,Harari,Total Holdings,24677
2014,Harari,Total Holdings,26132
2015,Harari,Total Holdings,25684
2016,Harari,Total Holdings,29243
2017,Harari,Total Holdings,33152
2018,Harari,Total Holdings,42690
2019,Harari,Total Holdings,51461
2020,Harari,Total Holdings,55734
2003,Oromoa,Total Holdings,0
2004,Oromoa,Total Holdings,4479464
2005,Oromoa,Total Holdings,4500176
2006,Oromoa,Total Holdings,5028049
2007,Oromoa,Total Holdings,5366816
2008,Oromoa,Total Holdings,5679463
2009,Oromoa,Total Holdings,5644434
2010,Oromoa,Total Holdings,5738428
2011,Oromoa,Total Holdings,5862749
2012,Oromoa,Total Holdings,-6
2013,Oromoa,Total Holdings,5982551
2014,Oromoa,Total Holdings,6082490
2015,Oromoa,Total Holdings,6135080
2016,Oromoa,Total Holdings,6238966
2017,Oromoa,Total Holdings,6322871
2018,Oromoa,Total Holdings,6462026
2019,Oromoa,Total Holdings,0
2020,Oromoa,Total Holdings,6831276
2003,SNNPR,Total Holdings,0
2004,SNNPR,Total Holdings,2619208
2005,SNNPR,Total Holdings,2586612
2006,SNNPR,Total Holdings,2756916
2007,SNNPR,Total Holdings,2918902
2008,SNNPR,Total Holdings,2935372
2009,SNNPR,Total Holdings,2975433
2010,SNNPR,Total Holdings,3596058
2011,SNNPR,Total Holdings,2154444
2012,SNNPR,Total Holdings,3481137
2013,SNNPR,Total Holdings,3564454
2014,SNNPR,Total Holdings,3610903
2015,SNNPR,Total Holdings,3467676
2016,SNNPR,Total Holdings,3642887
2017,SNNPR,Total Holdings,3927762
2018,SNNPR,Total Holdings,3431207
2019,SNNPR,Total Holdings,3967785
2020,SNNPR,Total Holdings,2916669
2003,Somali,Total Holdings,0
2004,Somali,Total Holdings,105191
2005,Somali,Total Holdings,107319
2006,Somali,Total Holdings,119946
2007,Somali,Total Holdings,147069
2008,Somali,Total Holdings,146700
2009,Somali,Total Holdings,153119
2010,Somali,Total Holdings,130042
2011,Somali,Total Holdings,120639
2012,Somali,Total Holdings,146132
2013,Somali,Total Holdings,166978
2014,Somali,Total Holdings,148699
2015,Somali,Total Holdings,117650
2016,Somali,Total Holdings,146588
2017,Somali,Total Holdings,187634
2018,Somali,Total Holdings,187755
2019,Somali,Total Holdings,577319
2020,Somali,Total Holdings,641236
2003,Tigray,Total Holdings,0
2004,Tigray,Total Holdings,710319
2005,Tigray,Total Holdings,689556
2006,Tigray,Total Holdings,762613
2007,Tigray,Total Holdings,831175
2008,Tigray,Total Holdings,831210
2009,Tigray,Total Holdings,906354
2010,Tigray,Total Holdings,998942
2011,Tigray,Total Holdings,976629
2012,Tigray,Total Holdings,-6
2013,Tigray,Total Holdings,1134362
2014,Tigray,Total Holdings,1239461
2015,Tigray,Total Holdings,1236271
2016,Tigray,Total Holdings,1327444
2017,Tigray,Total Holdings,1512721
2018,Tigray,Total Holdings,1479377
2019,Tigray,Total Holdings,1480125
2020,Tigray,Total Holdings,1479536
2003,Addis Ababa,No Poultry Holdings,0
2004,Addis Ababa,No Poultry Holdings,2045
2005,Addis Ababa,No Poultry Holdings,2653
2006,Addis Ababa,No Poultry Holdings,3226
2007,Addis Ababa,No Poultry Holdings,0
2008,Addis Ababa,No Poultry Holdings,0
2009,Addis Ababa,No Poultry Holdings,0
2010,Addis Ababa,No Poultry Holdings,0
2011,Addis Ababa,No Poultry Holdings,0
2012,Addis Ababa,No Poultry Holdings,0
2013,Addis Ababa,No Poultry Holdings,0
2014,Addis Ababa,No Poultry Holdings,0
2015,Addis Ababa,No Poultry Holdings,0
2016,Addis Ababa,No Poultry Holdings,0
2017,Addis Ababa,No Poultry Holdings,0
2018,Addis Ababa,No Poultry Holdings,0
2019,Addis Ababa,No Poultry Holdings,0
2020,Addis Ababa,No Poultry Holdings,0
2003,Afar,No Poultry Holdings,0
2004,Afar,No Poultry Holdings,25108
2005,Afar,No Poultry Holdings,22219
2006,Afar,No Poultry Holdings,24246
2007,Afar,No Poultry Holdings,32400
2008,Afar,No Poultry Holdings,41245
2009,Afar,No Poultry Holdings,44960
2010,Afar,No Poultry Holdings,83923
2011,Afar,No Poultry Holdings,95289
2012,Afar,No Poultry Holdings,0
2013,Afar,No Poultry Holdings,198804
2014,Afar,No Poultry Holdings,232240
2015,Afar,No Poultry Holdings,214750
2016,Afar,No Poultry Holdings,231043
2017,Afar,No Poultry Holdings,160133
2018,Afar,No Poultry Holdings,380015
2019,Afar,No Poultry Holdings,358464
2020,Afar,No Poultry Holdings,326477
2003,Amhara,No Poultry Holdings,0
2004,Amhara,No Poultry Holdings,1190012
2005,Amhara,No Poultry Holdings,1112442
2006,Amhara,No Poultry Holdings,1263488
2007,Amhara,No Poultry Holdings,1135039
2008,Amhara,No Poultry Holdings,1409770
2009,Amhara,No Poultry Holdings,1420254
2010,Amhara,No Poultry Holdings,1478364
2011,Amhara,No Poultry Holdings,1597682
2012,Amhara,No Poultry Holdings,0
2013,Amhara,No Poultry Holdings,1695271
2014,Amhara,No Poultry Holdings,1615818
2015,Amhara,No Poultry Holdings,1997062
2016,Amhara,No Poultry Holdings,2000328
2017,Amhara,No Poultry Holdings,2056661
2018,Amhara,No Poultry Holdings,1800003
2019,Amhara,No Poultry Holdings,2039545
2020,Amhara,No Poultry Holdings,1964840
2003,Benishangul Gumz,No Poultry Holdings,0
2004,Benishangul Gumz,No Poultry Holdings,41503
2005,Benishangul Gumz,No Poultry Holdings,50924
2006,Benishangul Gumz,No Poultry Holdings,56666
2007,Benishangul Gumz,No Poultry Holdings,49116
2008,Benishangul Gumz,No Poultry Holdings,52880
2009,Benishangul Gumz,No Poultry Holdings,50356
2010,Benishangul Gumz,No Poultry Holdings,64132
2011,Benishangul Gumz,No Poultry Holdings,78707
2012,Benishangul Gumz,No Poultry Holdings,67098
2013,Benishangul Gumz,No Poultry Holdings,79276
2014,Benishangul Gumz,No Poultry Holdings,75759
2015,Benishangul Gumz,No Poultry Holdings,105074
2016,Benishangul Gumz,No Poultry Holdings,99150
2017,Benishangul Gumz,No Poultry Holdings,128809
2018,Benishangul Gumz,No Poultry Holdings,90436
2019,Benishangul Gumz,No Poultry Holdings,94750
2020,Benishangul Gumz,No Poultry Holdings,89507
2003,Dire Dawa,No Poultry Holdings,0
2004,Dire Dawa,No Poultry Holdings,5904
2005,Dire Dawa,No Poultry Holdings,7213
2006,Dire Dawa,No Poultry Holdings,6984
2007,Dire Dawa,No Poultry Holdings,7990
2008,Dire Dawa,No Poultry Holdings,8037
2009,Dire Dawa,No Poultry Holdings,9158
2010,Dire Dawa,No Poultry Holdings,7177
2011,Dire Dawa,No Poultry Holdings,6997
2012,Dire Dawa,No Poultry Holdings,8664
2013,Dire Dawa,No Poultry Holdings,8912
2014,Dire Dawa,No Poultry Holdings,9847
2015,Dire Dawa,No Poultry Holdings,10385
2016,Dire Dawa,No Poultry Holdings,8696
2017,Dire Dawa,No Poultry Holdings,11879
2018,Dire Dawa,No Poultry Holdings,8442
2019,Dire Dawa,No Poultry Holdings,16887
2020,Dire Dawa,No Poultry Holdings,16545
2003,Gambela,No Poultry Holdings,0
2004,Gambela,No Poultry Holdings,0
2005,Gambela,No Poultry Holdings,0
2006,Gambela,No Poultry Holdings,0
2007,Gambela,No Poultry Holdings,20016
2008,Gambela,No Poultry Holdings,17387
2009,Gambela,No Poultry Holdings,17508
2010,Gambela,No Poultry Holdings,18964
2011,Gambela,No Poultry Holdings,20667
2012,Gambela,No Poultry Holdings,25905
2013,Gambela,No Poultry Holdings,29585
2014,Gambela,No Poultry Holdings,31643
2015,Gambela,No Poultry Holdings,34023
2016,Gambela,No Poultry Holdings,40834
2017,Gambela,No Poultry Holdings,37080
2018,Gambela,No Poultry Holdings,35262
2019,Gambela,No Poultry Holdings,30308
2020,Gambela,No Poultry Holdings,31112
2003,Harari,No Poultry Holdings,0
2004,Harari,No Poultry Holdings,8330
2005,Harari,No Poultry Holdings,9050
2006,Harari,No Poultry Holdings,10592
2007,Harari,No Poultry Holdings,10629
2008,Harari,No Poultry Holdings,10929
2009,Harari,No Poultry Holdings,11617
2010,Harari,No Poultry Holdings,11124
2011,Harari,No Poultry Holdings,12355
2012,Harari,No Poultry Holdings,13297
2013,Harari,No Poultry Holdings,13367
2014,Harari,No Poultry Holdings,13967
2015,Harari,No Poultry Holdings,14514
2016,Harari,No Poultry Holdings,14815
2017,Harari,No Poultry Holdings,17961
2018,Harari,No Poultry Holdings,28797
2019,Harari,No Poultry Holdings,30909
2020,Harari,No Poultry Holdings,34383
2003,Oromoa,No Poultry Holdings,0
2004,Oromoa,No Poultry Holdings,2261113
2005,Oromoa,No Poultry Holdings,2268546
2006,Oromoa,No Poultry Holdings,2627004
2007,Oromoa,No Poultry Holdings,2803130
2008,Oromoa,No Poultry Holdings,3080074
2009,Oromoa,No Poultry Holdings,2830015
2010,Oromoa,No Poultry Holdings,2720194
2011,Oromoa,No Poultry Holdings,2906420
2012,Oromoa,No Poultry Holdings,0
2013,Oromoa,No Poultry Holdings,2794351
2014,Oromoa,No Poultry Holdings,2764960
2015,Oromoa,No Poultry Holdings,3060252
2016,Oromoa,No Poultry Holdings,2982512
2017,Oromoa,No Poultry Holdings,3149518
2018,Oromoa,No Poultry Holdings,3141901
2019,Oromoa,No Poultry Holdings,0
2020,Oromoa,No Poultry Holdings,3468321
2003,SNNPR,No Poultry Holdings,0
2004,SNNPR,No Poultry Holdings,1315423
2005,SNNPR,No Poultry Holdings,1345188
2006,SNNPR,No Poultry Holdings,1492203
2007,SNNPR,No Poultry Holdings,1460672
2008,SNNPR,No Poultry Holdings,1652292
2009,SNNPR,No Poultry Holdings,1486211
2010,SNNPR,No Poultry Holdings,1766759
2011,SNNPR,No Poultry Holdings,1811088
2012,SNNPR,No Poultry Holdings,1755530
2013,SNNPR,No Poultry Holdings,1751408
2014,SNNPR,No Poultry Holdings,1770287
2015,SNNPR,No Poultry Holdings,1760402
2016,SNNPR,No Poultry Holdings,1609671
2017,SNNPR,No Poultry Holdings,1899551
2018,SNNPR,No Poultry Holdings,1670062
2019,SNNPR,No Poultry Holdings,2369493
2020,SNNPR,No Poultry Holdings,1463324
2003,Somali,No Poultry Holdings,0
2004,Somali,No Poultry Holdings,77190
2005,Somali,No Poultry Holdings,90363
2006,Somali,No Poultry Holdings,99029
2007,Somali,No Poultry Holdings,125531
2008,Somali,No Poultry Holdings,130914
2009,Somali,No Poultry Holdings,140625
2010,Somali,No Poultry Holdings,112106
2011,Somali,No Poultry Holdings,101179
2012,Somali,No Poultry Holdings,119923
2013,Somali,No Poultry Holdings,135617
2014,Somali,No Poultry Holdings,119646
2015,Somali,No Poultry Holdings,94857
2016,Somali,No Poultry Holdings,119442
2017,Somali,No Poultry Holdings,163187
2018,Somali,No Poultry Holdings,163308
2019,Somali,No Poultry Holdings,530656
2020,Somali,No Poultry Holdings,604053
2003,Tigray,No Poultry Holdings,0
2004,Tigray,No Poultry Holdings,205055
2005,Tigray,No Poultry Holdings,193310
2006,Tigray,No Poultry Holdings,230059
2007,Tigray,No Poultry Holdings,210586
2008,Tigray,No Poultry Holdings,228497
2009,Tigray,No Poultry Holdings,259107
2010,Tigray,No Poultry Holdings,328338
2011,Tigray,No Poultry Holdings,273004
2012,Tigray,No Poultry Holdings,0
2013,Tigray,No Poultry Holdings,325789
2014,Tigray,No Poultry Holdings,338147
2015,Tigray,No Poultry Holdings,377780
2016,Tigray,No Poultry Holdings,407977
2017,Tigray,No Poultry Holdings,489075
2018,Tigray,No Poultry Holdings,518887
2019,Tigray,No Poultry Holdings,541917
2020,Tigray,No Poultry Holdings,157616
2003,Addis Ababa,Head: 1-9,0
2004,Addis Ababa,Head: 1-9,2621
2005,Addis Ababa,Head: 1-9,3593
2006,Addis Ababa,Head: 1-9,3647
